date_key,plant_id,material_id,on_hand_qty,safety_stock_qty,reorder_point_qty,unit_of_measure,days_of_cover,stock_status
202501,PLT-01,MAT-101,484.0,100.0,150.0,MT,145.2,Healthy
202502,PLT-01,MAT-101,1283.0,100.0,150.0,MT,384.9,Healthy
202503,PLT-01,MAT-101,1736.0,100.0,150.0,MT,520.8,Healthy
202505,PLT-01,MAT-101,1983.0,100.0,150.0,MT,594.9,Healthy
202506,PLT-01,MAT-101,3222.0,100.0,150.0,MT,966.6,Healthy
202507,PLT-01,MAT-101,3313.0,100.0,150.0,MT,993.9,Healthy
202508,PLT-01,MAT-101,3747.0,100.0,150.0,MT,1124.1,Healthy
202509,PLT-01,MAT-101,4577.0,100.0,150.0,MT,1373.1,Healthy
202510,PLT-01,MAT-101,4934.0,100.0,150.0,MT,1480.2,Healthy
202511,PLT-01,MAT-101,5105.0,100.0,150.0,MT,1531.5,Healthy
202512,PLT-01,MAT-101,4863.0,100.0,150.0,MT,1458.9,Healthy
202501,PLT-01,MAT-102,-200.0,100.0,150.0,MT,-60.0,Below Safety
202502,PLT-01,MAT-102,523.0,100.0,150.0,MT,156.9,Healthy
202504,PLT-01,MAT-102,1062.0,100.0,150.0,MT,318.6,Healthy
202506,PLT-01,MAT-102,965.0,100.0,150.0,MT,289.5,Healthy
202507,PLT-01,MAT-102,823.0,100.0,150.0,MT,246.9,Healthy
202508,PLT-01,MAT-102,684.0,100.0,150.0,MT,205.2,Healthy
202509,PLT-01,MAT-102,1111.0,100.0,150.0,MT,333.3,Healthy
202511,PLT-01,MAT-102,1320.0,100.0,150.0,MT,396.0,Healthy
202512,PLT-01,MAT-102,1185.0,100.0,150.0,MT,355.5,Healthy
202601,PLT-01,MAT-102,357335.0,100.0,150.0,MT,107200.5,Healthy
202501,PLT-01,MAT-103,-51.0,100.0,150.0,MT,-15.3,Below Safety
202503,PLT-01,MAT-103,221.0,100.0,150.0,MT,66.3,Healthy
202504,PLT-01,MAT-103,889.0,100.0,150.0,MT,266.7,Healthy
202505,PLT-01,MAT-103,1053.0,100.0,150.0,MT,315.9,Healthy
202506,PLT-01,MAT-103,1335.0,100.0,150.0,MT,400.5,Healthy
202507,PLT-01,MAT-103,1933.0,100.0,150.0,MT,579.9,Healthy
202510,PLT-01,MAT-103,2449.0,100.0,150.0,MT,734.7,Healthy
202512,PLT-01,MAT-103,2754.0,100.0,150.0,MT,826.2,Healthy
202601,PLT-01,MAT-103,3220.0,100.0,150.0,MT,966.0,Healthy
202501,PLT-01,MAT-104,464.0,100.0,150.0,MT,139.2,Healthy
202502,PLT-01,MAT-104,861.0,100.0,150.0,MT,258.3,Healthy
202503,PLT-01,MAT-104,1394.0,100.0,150.0,MT,418.2,Healthy
202504,PLT-01,MAT-104,1725.0,100.0,150.0,MT,517.5,Healthy
202505,PLT-01,MAT-104,3273.0,100.0,150.0,MT,981.9,Healthy
202506,PLT-01,MAT-104,3709.0,100.0,150.0,MT,1112.7,Healthy
202507,PLT-01,MAT-104,4110.0,100.0,150.0,MT,1233.0,Healthy
202508,PLT-01,MAT-104,4434.0,100.0,150.0,MT,1330.2,Healthy
202510,PLT-01,MAT-104,5003.0,100.0,150.0,MT,1500.9,Healthy
202511,PLT-01,MAT-104,5416.0,100.0,150.0,MT,1624.8,Healthy
202512,PLT-01,MAT-104,6158.0,100.0,150.0,MT,1847.4,Healthy
202503,PLT-01,MAT-105,31.0,100.0,150.0,MT,9.3,Below Safety
202504,PLT-01,MAT-105,-219.0,100.0,150.0,MT,-65.7,Below Safety
202506,PLT-01,MAT-105,-413.0,100.0,150.0,MT,-123.9,Below Safety
202507,PLT-01,MAT-105,-843.0,100.0,150.0,MT,-252.9,Below Safety
202509,PLT-01,MAT-105,-134.0,100.0,150.0,MT,-40.2,Below Safety
202511,PLT-01,MAT-105,36.0,100.0,150.0,MT,10.8,Below Safety
202512,PLT-01,MAT-105,-120.0,100.0,150.0,MT,-36.0,Below Safety
202502,PLT-01,MAT-106,343.0,100.0,150.0,MT,102.9,Healthy
202503,PLT-01,MAT-106,1091.0,100.0,150.0,MT,327.3,Healthy
202505,PLT-01,MAT-106,795.0,100.0,150.0,MT,238.5,Healthy
202506,PLT-01,MAT-106,438.0,100.0,150.0,MT,131.4,Healthy
202507,PLT-01,MAT-106,958.0,100.0,150.0,MT,287.4,Healthy
202509,PLT-01,MAT-106,1077.0,100.0,150.0,MT,323.1,Healthy
