date_key,supplier_id,total_deliveries,otd_pct,otif_pct,defect_ppm,lead_time_variance_days,ppv_pct,responsiveness_score,overall_score,supplier_rating,rating_v2
202501,SUP-001,2,100.0,100.0,88.0,0.4,-2.48,95,100.7,A - Preferred,D - At Risk
202501,SUP-002,2,100.0,100.0,78.0,0.4,-1.73,95,100.2,A - Preferred,D - At Risk
202501,SUP-003,3,100.0,100.0,413.0,1.2,-0.02,85,95.8,A - Preferred,D - At Risk
202501,SUP-004,2,1.0,100.0,433.0,1.2,0.52,85,95.3,A - Preferred,D - At Risk
202501,SUP-005,3,100.0,33.3,1737.0,2.5,2.92,72,66.8,C - Conditional,A - Preferred
202501,SUP-007,1,100.0,0.0,1088.0,2.5,3.25,72,58.5,C - Conditional,A - Preferred
202501,SUP-008,1,100.0,100.0,1083.0,2.5,2.85,72,88.9,A - Preferred,D - At Risk
202501,SUP-009,1,100.0,100.0,4401.0,5.5,-99.93,55,157.7,A - Preferred,D - At Risk
202501,SUP-010,2,100.0,100.0,1358.0,2.5,3.77,72,87.3,A - Preferred,D - At Risk
202501,SUP-011,2,1.0,100.0,5857.0,5.5,7.93,55,67.1,C - Conditional,A - Preferred
202502,SUP-001,4,100.0,100.0,120.0,0.4,-1.95,95,,A - Preferred,A - Preferred
202502,SUP-002,3,100.0,100.0,93.0,0.4,-2.22,95,100.5,A - Preferred,D - At Risk
202502,SUP-003,3,100.0,100.0,554.0,1.2,0.07,85,95.3,A - Preferred,D - At Risk
202502,SUP-004,3,66.7,66.7,401.0,1.2,-0.25,85,86.0,A - Preferred,D - At Risk
202502,SUP-005,1,100.0,100.0,1950.0,2.5,3.23,72,86.0,A - Preferred,D - At Risk
202502,SUP-006,3,100.0,100.0,580.0,1.2,-0.06,85,95.3,A - Preferred,D - At Risk
202502,SUP-555,3,66.7,66.7,1348.0,2.5,3.32,72,77.7,B - Approved,D - At Risk
202502,SUP-008,5,100.0,100.0,1600.0,2.5,3.32,72,,A - Preferred,A - Preferred
202502,SUP-009,2,100.0,100.0,6382.0,5.5,-207.94,55,238.2,A - Preferred,D - At Risk
202502,SUP-010,2,100.0,100.0,1438.0,2.5,2.96,72,87.7,A - Preferred,D - At Risk
202502,SUP-011,1,0.0,0.0,5578.0,5.5,7.08,55,38.6,D - At Risk,A - Preferred
202502,SUP-012,2,50.0,50.0,833834.0,1.2,-0.54,85,52.4,D - At Risk,A - Preferred
202502,SUP-013,3,66.7,66.7,4322.0,5.5,7.92,55,61.7,C - Conditional,A - Preferred
202502,SUP-014,4,50.0,25.0,438.0,1.2,0.76,85,72.6,B - Approved,D - At Risk
202503,SUP-001,2,100.0,100.0,101.0,0.4,-2.3,95,100.5,A - Preferred,D - At Risk
202503,SUP-003,1,100.0,100.0,181.0,1.2,0.27,85,96.2,A - Preferred,D - At Risk
202503,SUP-004,3,100.0,100.0,479.0,1.2,-0.44,85,95.9,A - Preferred,D - At Risk
202503,SUP-005,4,75.0,75.0,1548.0,2.5,3.55,72,79.4,B - Approved,D - At Risk
202503,SUP-006,4,75.0,75.0,521.0,1.2,-0.0,85,87.9,A - Preferred,D - At Risk
202503,SUP-007,4,75.0,50.0,626581.0,2.5,3.39,72,46.7,D - At Risk,A - Preferred
202503,SUP-008,2,100.0,100.0,1538.0,2.5,2.7,72,87.6,A - Preferred,D - At Risk
202503,SUP-009,2,100.0,50.0,4035.0,5.5,7.98,55,57.5,C - Conditional,A - Preferred
202503,SUP-010,5,80.0,80.0,1457.0,2.5,3.06,72,81.6,B - Approved,D - At Risk
202503,SUP-011,3,33.3,33.3,8248.0,5.5,8.32,55,39.6,D - At Risk,A - Preferred
202503,SUP-012,7,85.7,85.7,455.0,1.2,0.2,85,91.2,A - Preferred,D - At Risk
202503,SUP-013,4,75.0,75.0,3719.0,5.5,8.72,55,65.4,C - Conditional,A - Preferred
202503,SUP-014,4,100.0,100.0,548.0,1.2,0.53,85,94.9,A - Preferred,D - At Risk
202504,SUP-001,3,1.0,100.0,125.0,0.4,-2.31,95,100.5,A - Preferred,D - At Risk
202504,SUP-002,4,100.0,100.0,105.0,0.4,-2.17,95,100.4,A - Preferred,D - At Risk
202504,SUP-003,7,85.7,85.7,454.0,1.2,-0.51,85,91.8,A - Preferred,D - At Risk
202504,SUP-004,3,100.0,100.0,465.0,1.2,0.1,85,95.5,A - Preferred,D - At Risk
202504,SUP-005,5,80.0,60.0,1248.0,2.5,2.77,72,76.4,B - Approved,D - At Risk
202504,SUP-006,4,100.0,100.0,378.0,1.2,-0.1,85,95.9,A - Preferred,D - At Risk
202504,SUP-007,4,75.0,75.0,1640.0,2.5,3.19,72,79.4,B - Approved,D - At Risk
202504,SUP-008,4,75.0,75.0,1435.0,2.5,2.89,72,80.3,B - Approved,D - At Risk
202504,SUP-009,2,100.0,100.0,4806.0,5.5,-100.05,55,156.6,A - Preferred,D - At Risk
202504,SUP-011,4,50.0,50.0,5358.0,5.5,7.92,55,53.6,D - At Risk,A - Preferred
202504,SUP-013,2,1.0,50.0,3652.0,5.5,7.17,55,59.3,C - Conditional,A - Preferred
202504,SUP-014,2,100.0,100.0,521.0,1.2,-0.44,85,95.8,A - Preferred,D - At Risk
202505,SUP-001,4,100.0,100.0,145.0,0.4,-2.09,95,100.2,A - Preferred,D - At Risk
202505,SUP-002,2,100.0,100.0,140.0,0.4,-2.06,95,100.2,A - Preferred,D - At Risk
202505,SUP-003,5,100.0,80.0,455.0,1.2,0.06,85,89.6,A - Preferred,D - At Risk
202505,SUP-004,2,100.0,100.0,604.0,1.2,-0.39,85,95.5,A - Preferred,D - At Risk
202505,SUP-005,3,100.0,100.0,1602.0,2.5,2.78,72,87.4,A - Preferred,D - At Risk
202505,SUP-006,2,100.0,100.0,389.0,1.2,-0.37,85,96.1,A - Preferred,D - At Risk
202505,SUP-007,3,66.7,33.3,1834.0,2.5,2.99,72,66.5,C - Conditional,A - Preferred
202505,SUP-008,2,100.0,100.0,1403.0,2.5,2.76,72,88.0,A - Preferred,D - At Risk
202505,SUP-009,2,100.0,100.0,4712.0,5.5,-46.06,55,113.7,A - Preferred,D - At Risk
202505,SUP-010,2,100.0,100.0,1510.0,2.5,3.27,72,87.3,A - Preferred,D - At Risk
202505,SUP-011,4,100.0,100.0,4215.0,5.5,7.78,55,72.1,B - Approved,D - At Risk
202505,SUP-012,3,100.0,100.0,342.0,1.2,-0.04,85,96.0,A - Preferred,D - At Risk
202505,SUP-013,2,100.0,100.0,4628.0,5.5,8.02,55,70.7,B - Approved,D - At Risk
202505,SUP-014,3,66.7,66.7,490.0,1.2,0.15,85,85.4,A - Preferred,D - At Risk
202506,SUP-001,2,100.0,100.0,88.0,0.4,-1.89,95,100.2,A - Preferred,D - At Risk
202506,SUP-002,4,100.0,100.0,117.0,0.4,-2.48,95,100.6,A - Preferred,D - At Risk
202506,SUP-555,2,0.5,50.0,527.0,1.2,0.27,85,80.2,B - Approved,D - At Risk
202506,SUP-004,3,100.0,100.0,410.0,1.2,0.19,85,95.6,A - Preferred,D - At Risk
202506,SUP-006,2,100.0,100.0,391.0,1.2,0.0,85,95.8,A - Preferred,D - At Risk
202506,SUP-007,2,100.0,100.0,1646.0,2.5,3.3,72,86.8,A - Preferred,D - At Risk
202506,SUP-008,3,100.0,33.3,1506.0,2.5,3.18,72,67.3,C - Conditional,A - Preferred
202506,SUP-009,4,75.0,25.0,4552.0,5.5,8.86,55,47.8,D - At Risk,A - Preferred
202506,SUP-010,3,100.0,100.0,1973.0,2.5,3.05,72,86.0,A - Preferred,D - At Risk
202506,SUP-012,4,100.0,100.0,380.0,1.2,0.19,85,95.7,A - Preferred,D - At Risk
202506,SUP-013,3,33.3,33.3,4771.0,5.5,7.89,55,50.4,D - At Risk,A - Preferred
202506,SUP-014,3,100.0,100.0,478.0,1.2,-0.02,85,95.6,A - Preferred,D - At Risk
202507,SUP-001,4,100.0,100.0,112.0,0.4,-2.04,95,100.3,A - Preferred,D - At Risk
202507,SUP-555,2,1.0,100.0,130.0,0.4,-2.39,95,100.5,A - Preferred,D - At Risk
202507,SUP-003,2,50.0,50.0,625.0,1.2,-0.67,85,80.7,B - Approved,D - At Risk
202507,SUP-555,3,100.0,100.0,510.0,1.2,0.43,85,95.1,A - Preferred,D - At Risk
202507,SUP-005,5,0.8,40.0,1700.0,2.5,3.03,72,,C - Conditional,A - Preferred
202507,SUP-006,4,100.0,75.0,540.0,1.2,0.71,85,87.3,A - Preferred,D - At Risk
202507,SUP-007,3,100.0,66.7,1246.0,2.5,3.08,72,78.2,B - Approved,D - At Risk
202507,SUP-008,4,100.0,50.0,1742.0,2.5,2.8,72,71.9,B - Approved,D - At Risk
202507,SUP-009,2,50.0,0.0,4340.0,5.5,-64.57,55,99.6,A - Preferred,D - At Risk
202507,SUP-010,5,80.0,80.0,1713.0,2.5,3.01,72,80.9,B - Approved,D - At Risk
202507,SUP-011,3,100.0,33.3,5062.0,5.5,8.27,55,49.2,D - At Risk,A - Preferred
