movement_id,movement_date,plant_id,material_id,movement_type,quantity,unit_of_measure,ref_grn_id
MOV-700001,2025-02-04,PLT-04,MAT-101,Receipt,350.0,MT,GRN-5000
MOV-700002,2025-02-15,PLT-04,MAT-101,Receipt,393.0,MT,GRN-5001
MOV-700003,2025-01-17,PLT-03,MAT-101,Receipt,323.0,MT,GRN-5002
MOV-700004,2025-01-29,PLT-04,MAT-101,Receipt,171.0,MT,GRN-5003
MOV-700005,2025-01-21,PLT-05,MAT-102,Receipt,481.0,MT,GRN-5004
MOV-700006,2025-01-31,PLT-02,MAT-102,Receipt,132.0,MT,GRN-5005
MOV-700007,2025-02-14,PLT-01,MAT-102,Receipt,551.0,MT,GRN-5006
MOV-700008,2025-01-17,PLT-01,MAT-103,Receipt,112.0,MT,GRN-5007
MOV-700009,2025-02-01,PLT-06,MAT-103,Receipt,472.0,MT,GRN-5008
MOV-700010,2025-01-24,PLT-04,MAT-103,Receipt,564.0,MT,GRN-5009
MOV-700011,2025-01-11,PLT-05,MAT-103,Receipt,107.0,MT,GRN-5010
MOV-700012,2025-02-14,PLT-01,MAT-104,Receipt,397.0,MT,GRN-5011
MOV-700013,2025-01-28,PLT-04,MAT-104,Receipt,192.0,MT,GRN-5012
MOV-700014,2025-01-27,PLT-01,MAT-104,Receipt,464.0,MT,GRN-5013
MOV-700015,2025-02-10,PLT-05,MAT-104,Receipt,277.0,MT,GRN-5014
MOV-700016,2025-02-05,PLT-02,MAT-105,Receipt,590.0,MT,GRN-5015
MOV-700017,2025-01-22,PLT-04,MAT-105,Receipt,506.0,MT,GRN-5016
MOV-700018,2025-01-27,PLT-04,MAT-105,Receipt,513.0,MT,GRN-5017
MOV-700019,2025-01-28,PLT-04,MAT-105,Receipt,499.0,MT,GRN-5018
MOV-700020,2025-02-14,PLT-01,MAT-102,Receipt,240.0,MT,GRN-5019
MOV-700021,2025-01-21,PLT-06,MAT-102,Receipt,454.0,MT,GRN-5020
MOV-700022,2025-01-16,PLT-01,MAT-101,Receipt,484.0,MT,GRN-5021
MOV-700023,2025-02-16,PLT-01,MAT-101,Receipt,116.0,MT,GRN-5022
MOV-700024,2025-02-15,PLT-02,MAT-101,Receipt,402.0,MT,GRN-5023
MOV-700025,2025-02-11,PLT-03,MAT-101,Receipt,325.0,MT,GRN-5024
MOV-700026,2025-02-15,PLT-04,MAT-106,Receipt,433.0,MT,GRN-5025
MOV-700027,2025-02-02,PLT-01,MAT-106,Receipt,343.0,MT,GRN-5026
MOV-700028,2025-02-07,PLT-04,MAT-106,Receipt,348.0,MT,GRN-5027
MOV-700029,2025-01-26,PLT-04,MAT-106,Receipt,137.0,MT,GRN-5028
MOV-700030,2025-01-24,PLT-05,MAT-107,Receipt,780.0,KG,GRN-5029
MOV-700031,2025-02-10,PLT-05,MAT-108,Receipt,1477.0,KG,GRN-5030
MOV-700032,2025-01-28,PLT-04,MAT-103,Receipt,95.0,MT,GRN-5031
MOV-700033,2025-01-18,PLT-05,MAT-103,Receipt,506.0,MT,GRN-5032
MOV-700034,2025-01-21,PLT-03,MAT-105,Receipt,169.0,MT,GRN-5033
MOV-700035,2025-02-02,PLT-04,MAT-105,Receipt,356.0,MT,GRN-5034
MOV-700036,2025-01-21,PLT-05,MAT-105,Receipt,448.0,MT,GRN-5035
MOV-700037,2025-02-12,PLT-03,MAT-109,Receipt,554.0,EA,GRN-5036
MOV-700038,2025-02-03,PLT-04,MAT-109,Receipt,668.0,EA,GRN-5037
MOV-700039,2025-02-05,PLT-05,MAT-101,Receipt,309.0,MT,GRN-5038
MOV-700040,2025-02-10,PLT-01,MAT-101,Receipt,421.0,MT,GRN-5039
MOV-700041,2025-02-06,PLT-03,MAT-104,Receipt,252.0,MT,GRN-5040
MOV-700042,2025-02-20,PLT-04,MAT-104,Receipt,229.0,MT,GRN-5041
MOV-700043,2025-02-14,PLT-05,MAT-104,Receipt,306.0,MT,GRN-5042
MOV-700044,2025-02-23,PLT-02,MAT-101,Receipt,395.0,MT,GRN-5043
MOV-700045,2025-02-18,PLT-01,MAT-101,Receipt,540.0,MT,GRN-5044
MOV-700046,2025-03-13,PLT-01,MAT-101,Receipt,453.0,MT,GRN-5045
