date_key,plant_id,material_id,forecast_demand_qty,actual_consumption_qty,supply_received_qty,unit_of_measure,supply_fill_rate_pct
202501,PLT-01,MAT-101,847,808,794,MT,98.3
202501,PLT-01,MAT-103,359,399,393,MT,98.5
202501,PLT-01,MAT-104,766,779,802,MT,100.0
202501,PLT-01,MAT-105,849,867,889,MT,100.0
202501,PLT-01,MAT-108,601,619,572,KG,92.4
202501,PLT-01,MAT-110,1869,1850,1863,KG,100.0
202501,PLT-01,MAT-111,435,469,479,MT,100.0
202501,PLT-02,MAT-101,758,792,779,MT,98.4
202501,PLT-02,MAT-102,601,584,557,MT,95.4
202501,PLT-02,MAT-105,527,507,488,MT,96.3
202501,PLT-02,MAT-106,739,766,778,MT,100.0
202501,PLT-02,MAT-107,831,749,694,KG,92.7
202501,PLT-02,MAT-111,848,899,827,MT,92.0
202501,PLT-02,MAT-112,288,288,290,MT,100.0
202501,PLT-03,MAT-101,576,623,626,MT,100.0
202501,PLT-03,MAT-103,785,782,794,MT,100.0
202501,PLT-03,MAT-105,700,735,769,MT,100.0
202501,PLT-03,MAT-106,524,563,518,MT,92.0
202501,PLT-03,MAT-107,1397,1396,1339,KG,95.9
202501,PLT-03,MAT-108,889,876,846,KG,96.6
202501,PLT-03,MAT-109,979,993,984,EA,99.1
202501,PLT-04,MAT-101,862,915,895,MT,97.8
202501,PLT-04,MAT-105,212,214,201,MT,93.9
202501,PLT-04,MAT-110,678,740,706,KG,95.4
202501,PLT-04,MAT-111,289,270,281,MT,100.0
202501,PLT-05,MAT-102,458,430,448,MT,100.0
202501,PLT-05,MAT-103,887,860,821,MT,95.5
202501,PLT-05,MAT-104,590,580,600,MT,100.0
202501,PLT-05,MAT-107,1772,1962,2031,KG,100.0
202501,PLT-05,MAT-109,661,683,679,EA,99.4
202501,PLT-05,MAT-110,796,798,807,KG,100.0
202501,PLT-05,MAT-112,268,288,308,MT,100.0
202501,PLT-06,MAT-104,783,735,766,MT,100.0
202501,PLT-06,MAT-106,462,451,466,MT,100.0
202501,PLT-06,MAT-107,1319,1330,1390,KG,100.0
202501,PLT-06,MAT-108,1219,1262,1261,KG,99.9
202501,PLT-06,MAT-109,792,883,931,EA,100.0
202501,PLT-06,MAT-111,406,446,448,MT,100.0
202502,PLT-01,MAT-102,643,622,618,MT,99.4
202502,PLT-01,MAT-103,642,685,636,MT,92.8
202502,PLT-01,MAT-104,811,787,773,MT,98.2
202502,PLT-01,MAT-106,815,786,811,MT,100.0
202502,PLT-01,MAT-107,1275,1387,1428,KG,100.0
202502,PLT-01,MAT-108,1205,1097,1021,KG,93.1
202502,PLT-01,MAT-109,764,820,830,EA,100.0
202502,PLT-01,MAT-110,441,481,448,KG,93.1
202502,PLT-01,MAT-112,309,298,274,MT,91.9
202502,PLT-02,MAT-102,270,297,285,MT,96.0
202502,PLT-02,MAT-104,380,349,356,MT,100.0
202502,PLT-02,MAT-106,715,647,666,MT,100.0
202502,PLT-02,MAT-108,1326,1197,1119,KG,93.5
202502,PLT-02,MAT-111,659,690,718,MT,100.0
202502,PLT-03,MAT-103,215,232,213,MT,91.8
202502,PLT-03,MAT-105,743,823,859,MT,100.0
202502,PLT-03,MAT-107,788,869,848,KG,97.6
202502,PLT-03,MAT-108,1120,1081,1120,KG,100.0
202502,PLT-03,MAT-111,205,195,191,MT,97.9
202502,PLT-04,MAT-102,353,329,344,MT,100.0
202502,PLT-04,MAT-103,413,388,410,MT,100.0
202502,PLT-04,MAT-106,792,726,744,MT,100.0
202502,PLT-04,MAT-111,500,506,494,MT,97.6
202502,PLT-05,MAT-101,645,664,679,MT,100.0
202502,PLT-05,MAT-105,351,316,328,MT,100.0
