date_key,plant_id,material_id,on_hand_qty,safety_stock_qty,reorder_point_qty,unit_of_measure,days_of_cover,stock_status
202501,PLT-01,MAT-101,120,100,150,MT,36.0,Healthy
202502,PLT-01,MAT-101,919,100,150,MT,275.7,Healthy
202503,PLT-01,MAT-101,1372,100,150,MT,411.6,Healthy
202505,PLT-01,MAT-101,1619,100,150,MT,485.7,Healthy
202506,PLT-01,MAT-101,2858,100,150,MT,857.4,Healthy
202507,PLT-01,MAT-101,2783,100,150,MT,834.9,Healthy
202508,PLT-01,MAT-101,3217,100,150,MT,965.1,Healthy
202509,PLT-01,MAT-101,4047,100,150,MT,1214.1,Healthy
202510,PLT-01,MAT-101,4404,100,150,MT,1321.2,Healthy
202511,PLT-01,MAT-101,4575,100,150,MT,1372.5,Healthy
202512,PLT-01,MAT-101,4333,100,150,MT,1299.9,Healthy
202501,PLT-01,MAT-102,120,100,150,MT,36.0,Healthy
202502,PLT-01,MAT-102,843,100,150,MT,252.9,Healthy
202504,PLT-01,MAT-102,1382,100,150,MT,414.6,Healthy
202506,PLT-01,MAT-102,1285,100,150,MT,385.5,Healthy
202507,PLT-01,MAT-102,1143,100,150,MT,342.9,Healthy
202508,PLT-01,MAT-102,1004,100,150,MT,301.2,Healthy
202509,PLT-01,MAT-102,1431,100,150,MT,429.3,Healthy
202511,PLT-01,MAT-102,1640,100,150,MT,492.0,Healthy
202512,PLT-01,MAT-102,1505,100,150,MT,451.5,Healthy
202601,PLT-01,MAT-102,2011,100,150,MT,603.3,Healthy
202501,PLT-01,MAT-103,120,100,150,MT,36.0,Healthy
202503,PLT-01,MAT-103,392,100,150,MT,117.6,Healthy
202504,PLT-01,MAT-103,1060,100,150,MT,318.0,Healthy
202505,PLT-01,MAT-103,1224,100,150,MT,367.2,Healthy
202506,PLT-01,MAT-103,1506,100,150,MT,451.8,Healthy
202507,PLT-01,MAT-103,2104,100,150,MT,631.2,Healthy
202510,PLT-01,MAT-103,2620,100,150,MT,786.0,Healthy
202512,PLT-01,MAT-103,2925,100,150,MT,877.5,Healthy
202601,PLT-01,MAT-103,3391,100,150,MT,1017.3,Healthy
202501,PLT-01,MAT-104,120,100,150,MT,36.0,Healthy
202502,PLT-01,MAT-104,517,100,150,MT,155.1,Healthy
202503,PLT-01,MAT-104,1050,100,150,MT,315.0,Healthy
202504,PLT-01,MAT-104,1381,100,150,MT,414.3,Healthy
202505,PLT-01,MAT-104,2436,100,150,MT,730.8,Healthy
202506,PLT-01,MAT-104,2872,100,150,MT,861.6,Healthy
202507,PLT-01,MAT-104,3273,100,150,MT,981.9,Healthy
202508,PLT-01,MAT-104,3597,100,150,MT,1079.1,Healthy
202510,PLT-01,MAT-104,4166,100,150,MT,1249.8,Healthy
202511,PLT-01,MAT-104,4579,100,150,MT,1373.7,Healthy
202512,PLT-01,MAT-104,5321,100,150,MT,1596.3,Healthy
202503,PLT-01,MAT-105,994,100,150,MT,298.2,Healthy
202504,PLT-01,MAT-105,744,100,150,MT,223.2,Healthy
202506,PLT-01,MAT-105,550,100,150,MT,165.0,Healthy
202507,PLT-01,MAT-105,120,100,150,MT,36.0,Healthy
202509,PLT-01,MAT-105,829,100,150,MT,248.7,Healthy
202511,PLT-01,MAT-105,999,100,150,MT,299.7,Healthy
202512,PLT-01,MAT-105,843,100,150,MT,252.9,Healthy
202502,PLT-01,MAT-106,120,100,150,MT,36.0,Healthy
202503,PLT-01,MAT-106,868,100,150,MT,260.4,Healthy
202505,PLT-01,MAT-106,572,100,150,MT,171.6,Healthy
202506,PLT-01,MAT-106,215,100,150,MT,64.5,Healthy
202507,PLT-01,MAT-106,735,100,150,MT,220.5,Healthy
202509,PLT-01,MAT-106,854,100,150,MT,256.2,Healthy
202510,PLT-01,MAT-106,1085,100,150,MT,325.5,Healthy
202512,PLT-01,MAT-106,817,100,150,MT,245.1,Healthy
202501,PLT-01,MAT-107,1660,400,600,KG,124.5,Healthy
202502,PLT-01,MAT-107,3108,400,600,KG,233.1,Healthy
