date_key,supplier_id,commodity,po_lines,total_spend_usd,total_qty
202501,SUP-001,Silica Sand,4,66381.46,1237
202501,SUP-002,Soda Ash,3,366819.58,1164
202501,SUP-003,Dolomite,4,60327.9,1255
202501,SUP-004,Limestone,4,55982.37,1330
202501,SUP-005,Cullet,4,67043.14,2173
202501,SUP-006,Soda Ash,2,221567.28,694
202501,SUP-007,Silica Sand,4,78018.94,1375
202501,SUP-008,Salt Cake,4,272374.83,1261
202501,SUP-009,Coatings,2,378156.91,2257
202501,SUP-010,Dolomite,2,29944.03,601
202501,SUP-011,Cullet,3,31523.58,973
202501,SUP-012,Packaging,2,27027.54,1222
202501,SUP-013,Silica Sand,2,43370.11,730
202501,SUP-014,Limestone,3,34684.73,827
202502,SUP-001,Silica Sand,3,74911.68,1388
202502,SUP-002,Soda Ash,2,212376.95,677
202502,SUP-003,Dolomite,3,28642.84,596
202502,SUP-004,Limestone,2,23957.35,571
202502,SUP-005,Cullet,2,28452.8,920
202502,SUP-006,Soda Ash,4,495789.45,1551
202502,SUP-007,Silica Sand,3,76986.91,1355
202502,SUP-008,Salt Cake,3,262459.12,1208
202502,SUP-009,Coatings,2,268612.45,1725
202502,SUP-010,Dolomite,4,76709.73,1554
202502,SUP-011,Cullet,2,19077.7,594
202502,SUP-012,Packaging,4,24968.16,2222
202502,SUP-013,Silica Sand,3,55997.99,943
202502,SUP-014,Limestone,4,52646.93,1245
202503,SUP-001,Silica Sand,2,19365.37,360
202503,SUP-002,Soda Ash,3,410077.74,1309
202503,SUP-003,Dolomite,4,64716.12,1340
202503,SUP-004,Limestone,3,20084.93,480
202503,SUP-005,Cullet,4,54773.84,1763
202503,SUP-006,Soda Ash,4,434308.2,1358
202503,SUP-007,Silica Sand,4,59689.48,1048
202503,SUP-008,Salt Cake,4,232626.66,1080
202503,SUP-009,Coatings,2,243072.2,1414
202503,SUP-010,Dolomite,4,41730.36,846
202503,SUP-011,Cullet,4,43537.79,1341
202503,SUP-012,Packaging,3,20951.95,2009
202503,SUP-013,Silica Sand,3,42553.06,712
202503,SUP-014,Limestone,3,44338.33,1049
202504,SUP-001,Silica Sand,2,34820.48,648
202504,SUP-002,Soda Ash,2,170988.2,548
202504,SUP-003,Dolomite,4,71095.08,1490
202504,SUP-004,Limestone,4,54084.66,1287
202504,SUP-005,Cullet,4,53868.83,1748
202504,SUP-006,Soda Ash,3,372037.58,1165
202504,SUP-007,Silica Sand,3,58730.67,1034
202504,SUP-008,Salt Cake,2,185551.58,858
202504,SUP-009,Coatings,2,396691.95,2425
202504,SUP-010,Dolomite,2,31033.02,627
202504,SUP-011,Cullet,2,21171.06,654
202504,SUP-012,Packaging,2,16226.28,2011
202504,SUP-013,Silica Sand,2,25757.12,437
202504,SUP-014,Limestone,3,59212.72,1416
202505,SUP-001,Silica Sand,4,39353.66,732
202505,SUP-002,Soda Ash,3,297914.46,951
202505,SUP-003,Dolomite,4,86904.63,1809
202505,SUP-004,Limestone,2,33963.09,812
202505,SUP-005,Cullet,2,28879.26,937
202505,SUP-006,Soda Ash,2,134643.46,423
202505,SUP-007,Silica Sand,3,56151.99,997
202505,SUP-008,Salt Cake,4,338767.02,1571
202505,SUP-009,Coatings,4,628209.93,3731
202505,SUP-010,Dolomite,2,24127.38,486
202505,SUP-011,Cullet,2,13623.46,421
202505,SUP-012,Packaging,3,11079.81,1385
202505,SUP-013,Silica Sand,3,55787.8,939
202505,SUP-014,Limestone,3,42543.01,1012
202506,SUP-001,Silica Sand,3,79663.46,1483
202506,SUP-002,Soda Ash,3,375912.48,1208
202506,SUP-003,Dolomite,2,17338.32,360
202506,SUP-004,Limestone,2,28364.48,676
202506,SUP-005,Cullet,3,31630.32,1025
202506,SUP-006,Soda Ash,4,308875.26,963
202506,SUP-007,Silica Sand,3,54276.92,956
202506,SUP-008,Salt Cake,3,272848.31,1259
202506,SUP-009,Coatings,2,147821.73,849
202506,SUP-010,Dolomite,4,69190.72,1399
202506,SUP-011,Cullet,2,23597.24,734
202506,SUP-012,Packaging,2,10988.49,1371
202506,SUP-013,Silica Sand,4,98398.57,1657
202506,SUP-014,Limestone,2,35513.14,846
202507,SUP-001,Silica Sand,3,39501.84,732
202507,SUP-002,Soda Ash,2,102532.17,329
202507,SUP-003,Dolomite,2,16258.58,341
202507,SUP-004,Limestone,4,39440.14,934
202507,SUP-005,Cullet,4,37690.05,1217
202507,SUP-006,Soda Ash,2,118921.44,369
202507,SUP-007,Silica Sand,3,33860.19,595
202507,SUP-008,Salt Cake,2,188742.64,874
202507,SUP-009,Coatings,3,377230.66,2289
202507,SUP-010,Dolomite,3,60349.23,1221
202507,SUP-011,Cullet,3,31975.27,983
202507,SUP-012,Packaging,3,25201.6,2166
202507,SUP-013,Silica Sand,3,69947.8,1174
202507,SUP-014,Limestone,4,56183.16,1330
202508,SUP-001,Silica Sand,3,58032.5,1074
202508,SUP-002,Soda Ash,4,576071.95,1840
202508,SUP-003,Dolomite,4,81419.88,1695
202508,SUP-004,Limestone,3,59409.34,1414
202508,SUP-005,Cullet,3,34981.0,1137
202508,SUP-006,Soda Ash,3,271067.7,848
202508,SUP-007,Silica Sand,4,60233.31,1062
202508,SUP-008,Salt Cake,3,156193.59,721
202508,SUP-009,Coatings,4,660287.08,3935
202508,SUP-010,Dolomite,3,83398.58,1682
202508,SUP-011,Cullet,3,21022.66,653
202508,SUP-012,Packaging,3,37556.46,2651
202508,SUP-013,Silica Sand,4,102194.3,1722
202508,SUP-014,Limestone,2,19112.07,458
202509,SUP-001,Silica Sand,3,60680.58,1123
202509,SUP-002,Soda Ash,3,319920.28,1022
202509,SUP-003,Dolomite,4,82471.19,1721
202509,SUP-004,Limestone,4,82226.86,1958
202509,SUP-005,Cullet,4,34577.16,1120
202509,SUP-006,Soda Ash,2,123576.4,388
202509,SUP-007,Silica Sand,4,57696.51,1023
202509,SUP-008,Salt Cake,2,161343.99,751
202509,SUP-009,Coatings,3,375816.01,2255
202509,SUP-010,Dolomite,3,54319.09,1097
202509,SUP-011,Cullet,4,45604.96,1404
202509,SUP-012,Packaging,4,30446.14,2154
202509,SUP-013,Silica Sand,4,71215.41,1196
202509,SUP-014,Limestone,3,46530.91,1104
202510,SUP-001,Silica Sand,4,57462.84,1062
202510,SUP-002,Soda Ash,4,460450.73,1465
202510,SUP-003,Dolomite,2,34833.04,725
202510,SUP-004,Limestone,4,47076.95,1119
202510,SUP-005,Cullet,3,19268.79,627
202510,SUP-006,Soda Ash,2,137106.04,428
202510,SUP-007,Silica Sand,4,84654.27,1495
202510,SUP-008,Salt Cake,2,117281.48,542
202510,SUP-009,Coatings,4,394718.15,2381
202510,SUP-010,Dolomite,3,44006.21,891
202510,SUP-011,Cullet,4,53346.15,1645
202510,SUP-012,Packaging,3,29204.9,1610
202510,SUP-013,Silica Sand,3,55531.76,936
202510,SUP-014,Limestone,4,49488.76,1169
202511,SUP-001,Silica Sand,3,36837.94,685
202511,SUP-002,Soda Ash,2,138261.2,440
202511,SUP-003,Dolomite,3,40535.46,844
202511,SUP-004,Limestone,3,35328.97,840
202511,SUP-005,Cullet,3,20785.32,676
202511,SUP-006,Soda Ash,4,645316.56,2020
202511,SUP-007,Silica Sand,2,51981.91,912
202511,SUP-008,Salt Cake,2,52200.4,240
202511,SUP-009,Coatings,2,471807.46,2858
202511,SUP-010,Dolomite,3,40467.55,815
202511,SUP-011,Cullet,2,11691.33,362
202511,SUP-012,Packaging,3,30820.57,2245
202511,SUP-013,Silica Sand,2,31860.92,536
202511,SUP-014,Limestone,2,31165.79,737
202512,SUP-001,Silica Sand,4,63201.44,1172
202512,SUP-002,Soda Ash,4,361580.45,1148
202512,SUP-003,Dolomite,2,23862.79,499
202512,SUP-004,Limestone,3,46476.84,1106
202512,SUP-005,Cullet,3,31381.45,1019
202512,SUP-006,Soda Ash,4,406128.04,1261
202512,SUP-007,Silica Sand,2,47023.63,830
202512,SUP-008,Salt Cake,4,373703.05,1724
202512,SUP-009,Coatings,4,353705.37,2219
202512,SUP-010,Dolomite,3,68662.21,1387
202512,SUP-011,Cullet,3,44664.19,1385
202512,SUP-012,Packaging,2,25090.97,1803
202512,SUP-013,Silica Sand,3,74603.39,1248
202512,SUP-014,Limestone,3,31803.72,758
