grn_id,po_id,supplier_id,material_id,plant_id,received_date,received_qty,unit_of_measure,delivery_status,fulfillment_status,delivery_delay_days
GRN-5000,PO-1000,SUP-001,MAT-101,PLT-04,2025-02-04,350,MT,On-Time,In-Full,0
GRN-5001,PO-1001,SUP-001,MAT-101,PLT-04,2025-02-15,393,MT,On-Time,In-Full,0
GRN-5002,PO-1002,SUP-001,MAT-101,PLT-03,2025-01-17,323,MT,On-Time,In-Full,0
GRN-5003,PO-1003,SUP-001,MAT-101,PLT-04,2025-01-29,171,MT,On-Time,In-Full,0
GRN-5004,PO-1004,SUP-002,MAT-102,PLT-05,2025-01-21,481,MT,On-Time,In-Full,0
GRN-5005,PO-1005,SUP-002,MAT-102,PLT-02,2025-01-31,132,MT,On-Time,In-Full,0
GRN-5006,PO-1006,SUP-002,MAT-102,PLT-01,2025-02-14,551,MT,On-Time,In-Full,0
GRN-5007,PO-1007,SUP-003,MAT-103,PLT-01,2025-01-17,112,MT,On-Time,In-Full,0
GRN-5008,PO-1008,SUP-003,MAT-103,PLT-06,2025-02-01,472,MT,On-Time,In-Full,0
GRN-5009,PO-1009,SUP-003,MAT-103,PLT-04,2025-01-24,564,MT,On-Time,In-Full,0
GRN-5010,PO-1010,SUP-003,MAT-103,PLT-05,2025-01-11,107,MT,On-Time,In-Full,0
GRN-5011,PO-1011,SUP-004,MAT-104,PLT-01,2025-02-14,397,MT,On-Time,In-Full,0
GRN-5012,PO-1012,SUP-004,MAT-104,PLT-04,2025-01-28,192,MT,On-Time,In-Full,0
GRN-5013,PO-1013,SUP-004,MAT-104,PLT-01,2025-01-27,464,MT,On-Time,In-Full,0
GRN-5014,PO-1014,SUP-004,MAT-104,PLT-05,2025-02-10,277,MT,On-Time,In-Full,0
GRN-5015,PO-1015,SUP-005,MAT-105,PLT-02,2025-02-05,590,MT,On-Time,In-Full,0
GRN-5016,PO-1016,SUP-005,MAT-105,PLT-04,2025-01-22,506,MT,On-Time,Short,0
GRN-5017,PO-1017,SUP-005,MAT-105,PLT-04,2025-01-27,513,MT,On-Time,Short,0
GRN-5018,PO-1018,SUP-005,MAT-105,PLT-04,2025-01-28,499,MT,On-Time,In-Full,0
GRN-5019,PO-1019,SUP-006,MAT-102,PLT-01,2025-02-14,240,MT,On-Time,In-Full,0
GRN-5020,PO-1020,SUP-006,MAT-102,PLT-06,2025-01-21,454,MT,On-Time,In-Full,0
GRN-5021,PO-1021,SUP-007,MAT-101,PLT-01,2025-01-16,484,MT,On-Time,Short,0
GRN-5022,PO-1022,SUP-007,MAT-101,PLT-01,2025-02-16,116,MT,Late,In-Full,7
GRN-5023,PO-1023,SUP-007,MAT-101,PLT-02,2025-02-15,402,MT,On-Time,In-Full,0
GRN-5024,PO-1024,SUP-007,MAT-101,PLT-03,2025-02-11,325,MT,On-Time,In-Full,0
GRN-5025,PO-1025,SUP-008,MAT-106,PLT-04,2025-02-15,433,MT,On-Time,In-Full,0
GRN-5026,PO-1026,SUP-008,MAT-106,PLT-01,2025-02-02,343,MT,On-Time,In-Full,0
GRN-5027,PO-1027,SUP-008,MAT-106,PLT-04,2025-02-07,348,MT,On-Time,In-Full,0
GRN-5028,PO-1028,SUP-008,MAT-106,PLT-04,2025-01-26,137,MT,On-Time,In-Full,0
GRN-5029,PO-1029,SUP-009,MAT-107,PLT-05,2025-01-24,780,KG,On-Time,In-Full,0
GRN-5030,PO-1030,SUP-009,MAT-108,PLT-05,2025-02-10,1477,KG,On-Time,In-Full,0
GRN-5031,PO-1031,SUP-010,MAT-103,PLT-04,2025-01-28,95,MT,On-Time,In-Full,0
GRN-5032,PO-1032,SUP-010,MAT-103,PLT-05,2025-01-18,506,MT,On-Time,In-Full,0
GRN-5033,PO-1033,SUP-011,MAT-105,PLT-03,2025-01-21,169,MT,On-Time,In-Full,0
GRN-5034,PO-1034,SUP-011,MAT-105,PLT-04,2025-02-02,356,MT,Late,In-Full,9
GRN-5035,PO-1035,SUP-011,MAT-105,PLT-05,2025-01-21,448,MT,On-Time,In-Full,0
GRN-5036,PO-1036,SUP-012,MAT-109,PLT-03,2025-02-12,554,EA,On-Time,In-Full,0
GRN-5037,PO-1037,SUP-012,MAT-109,PLT-04,2025-02-03,668,EA,Late,In-Full,5
GRN-5038,PO-1038,SUP-013,MAT-101,PLT-05,2025-02-05,309,MT,Late,In-Full,9
