po_id,order_date,supplier_id,material_id,plant_id,order_qty,unit_of_measure,unit_price_usd,po_value_usd,promised_delivery_date,po_status
PO-1000,2025-01-07,SUP-001,MAT-101,PLT-04,350,MT,53.46,18711.0,2025-02-04,Closed
PO-1001,2025-01-12,SUP-001,MAT-101,PLT-04,393,MT,53.67,21092.31,2025-02-15,Closed
PO-1002,2025-01-03,SUP-001,MAT-101,PLT-03,323,MT,54.02,17448.46,2025-01-17,Closed
PO-1003,2025-01-12,SUP-001,MAT-101,PLT-04,171,MT,53.39,9129.69,2025-01-29,Closed
PO-1004,2025-01-02,SUP-002,MAT-102,PLT-05,481,MT,316.13,152058.53,2025-01-21,Closed
PO-1005,2025-01-13,SUP-002,MAT-102,PLT-02,132,MT,312.3,41223.6,2025-01-31,Closed
PO-1006,2025-01-19,SUP-002,MAT-102,PLT-01,551,MT,314.95,173537.45,2025-02-14,Closed
PO-1007,2025-01-05,SUP-003,MAT-103,PLT-01,112,MT,48.09,5386.08,2025-01-17,Closed
PO-1008,2025-01-10,SUP-003,MAT-103,PLT-06,472,MT,47.71,22519.12,2025-02-01,Closed
PO-1009,2025-01-11,SUP-003,MAT-103,PLT-04,564,MT,48.43,27314.52,2025-01-24,Closed
PO-1010,2025-01-01,SUP-003,MAT-103,PLT-05,107,MT,47.74,5108.18,2025-01-11,Closed
PO-1011,2025-01-12,SUP-004,MAT-104,PLT-01,397,MT,42.37,16820.89,2025-02-14,Closed
PO-1012,2025-01-12,SUP-004,MAT-104,PLT-04,192,MT,42.0,8064.0,2025-01-28,Closed
PO-1013,2025-01-12,SUP-004,MAT-104,PLT-01,464,MT,41.78,19385.92,2025-01-27,Closed
PO-1014,2025-01-16,SUP-004,MAT-104,PLT-05,277,MT,42.28,11711.56,2025-02-10,Closed
PO-1015,2025-01-07,SUP-005,MAT-105,PLT-02,590,MT,31.16,18384.4,2025-02-05,Closed
PO-1016,2025-01-10,SUP-005,MAT-105,PLT-04,552,MT,30.74,16968.48,2025-01-22,Closed
PO-1017,2025-01-09,SUP-005,MAT-105,PLT-04,532,MT,30.81,16390.92,2025-01-27,Closed
PO-1018,2025-01-03,SUP-005,MAT-105,PLT-04,499,MT,30.66,15299.34,2025-01-28,Closed
PO-1019,2025-01-16,SUP-006,MAT-102,PLT-01,240,MT,319.15,76596.0,2025-02-14,Closed
PO-1020,2025-01-06,SUP-006,MAT-102,PLT-06,454,MT,319.32,144971.28,2025-01-21,Closed
PO-1021,2025-01-04,SUP-007,MAT-101,PLT-01,532,MT,56.95,30297.4,2025-01-16,Closed
PO-1022,2025-01-17,SUP-007,MAT-101,PLT-01,116,MT,57.16,6630.56,2025-02-09,Closed
PO-1023,2025-01-15,SUP-007,MAT-101,PLT-02,402,MT,56.49,22708.98,2025-02-15,Closed
PO-1024,2025-01-10,SUP-007,MAT-101,PLT-03,325,MT,56.56,18382.0,2025-02-11,Closed
PO-1025,2025-01-17,SUP-008,MAT-106,PLT-04,433,MT,214.36,92817.88,2025-02-15,Closed
PO-1026,2025-01-12,SUP-008,MAT-106,PLT-01,343,MT,216.82,74369.26,2025-02-02,Closed
PO-1027,2025-01-10,SUP-008,MAT-106,PLT-04,348,MT,217.54,75703.92,2025-02-07,Closed
PO-1028,2025-01-15,SUP-008,MAT-106,PLT-04,137,MT,215.21,29483.77,2025-01-26,Closed
PO-1029,2025-01-03,SUP-009,MAT-107,PLT-05,780,KG,156.79,122296.2,2025-01-24,Closed
PO-1030,2025-01-10,SUP-009,MAT-108,PLT-05,1477,KG,173.23,255860.71,2025-02-10,Closed
PO-1031,2025-01-02,SUP-010,MAT-103,PLT-04,95,MT,49.79,4730.05,2025-01-28,Closed
PO-1032,2025-01-01,SUP-010,MAT-103,PLT-05,506,MT,49.83,25213.98,2025-01-18,Closed
PO-1033,2025-01-10,SUP-011,MAT-105,PLT-03,169,MT,32.26,5451.94,2025-01-21,Closed
PO-1034,2025-01-10,SUP-011,MAT-105,PLT-04,356,MT,32.55,11587.8,2025-01-24,Closed
PO-1035,2025-01-03,SUP-011,MAT-105,PLT-05,448,MT,32.33,14483.84,2025-01-21,Closed
PO-1036,2025-01-14,SUP-012,MAT-109,PLT-03,554,EA,22.03,12204.62,2025-02-12,Closed
PO-1037,2025-01-07,SUP-012,MAT-109,PLT-04,668,EA,22.19,14822.92,2025-01-29,Closed
PO-1038,2025-01-08,SUP-013,MAT-101,PLT-05,309,MT,59.29,18320.61,2025-01-27,Closed
PO-1039,2025-01-07,SUP-013,MAT-101,PLT-01,421,MT,59.5,25049.5,2025-02-10,Closed
PO-1040,2025-01-20,SUP-014,MAT-104,PLT-03,252,MT,41.68,10503.36,2025-02-06,Closed
PO-1041,2025-01-17,SUP-014,MAT-104,PLT-04,269,MT,42.31,11381.39,2025-02-20,Closed
PO-1042,2025-01-17,SUP-014,MAT-104,PLT-05,306,MT,41.83,12799.98,2025-02-09,Closed
PO-1043,2025-02-05,SUP-001,MAT-101,PLT-02,395,MT,53.64,21187.8,2025-02-23,Closed
