inspection_id,grn_id,supplier_id,material_id,plant_id,inspection_date,inspected_qty,defect_qty,defect_ppm,defect_category
INS-90001,GRN-5000,SUP-001,MAT-101,PLT-04,2025-02-04,116,0,100,None
INS-90002,GRN-5000,SUP-001,MAT-101,PLT-04,2025-02-04,116,0,142,None
INS-90003,GRN-5000,SUP-001,MAT-101,PLT-04,2025-02-04,118,0,100,None
INS-90004,GRN-5001,SUP-001,MAT-101,PLT-04,2025-02-15,131,0,100,None
INS-90005,GRN-5001,SUP-001,MAT-101,PLT-04,2025-02-15,131,0,181,None
INS-90006,GRN-5001,SUP-001,MAT-101,PLT-04,2025-02-15,131,0,110,None
INS-90007,GRN-5002,SUP-001,MAT-101,PLT-03,2025-01-17,323,0,94,None
INS-90008,GRN-5003,SUP-001,MAT-101,PLT-04,2025-01-29,85,0,107,None
INS-90009,GRN-5003,SUP-001,MAT-101,PLT-04,2025-01-29,86,0,62,None
INS-90010,GRN-5004,SUP-002,MAT-102,PLT-05,2025-01-21,240,0,105,None
INS-90011,GRN-5004,SUP-002,MAT-102,PLT-05,2025-01-21,241,0,77,None
INS-90012,GRN-5005,SUP-002,MAT-102,PLT-02,2025-01-31,132,0,53,None
INS-90013,GRN-5006,SUP-002,MAT-102,PLT-01,2025-02-14,275,0,84,None
INS-90014,GRN-5006,SUP-002,MAT-102,PLT-01,2025-02-14,276,0,107,None
INS-90015,GRN-5007,SUP-003,MAT-103,PLT-01,2025-01-17,37,0,506,None
INS-90016,GRN-5007,SUP-003,MAT-103,PLT-01,2025-01-17,37,0,348,None
INS-90017,GRN-5007,SUP-003,MAT-103,PLT-01,2025-01-17,38,0,506,None
INS-90018,GRN-5008,SUP-003,MAT-103,PLT-06,2025-02-01,472,0,692,None
INS-90019,GRN-5009,SUP-003,MAT-103,PLT-04,2025-01-24,282,0,218,None
INS-90020,GRN-5009,SUP-003,MAT-103,PLT-04,2025-01-24,282,0,590,None
INS-90021,GRN-5010,SUP-003,MAT-103,PLT-05,2025-01-11,107,0,312,None
INS-90022,GRN-5011,SUP-004,MAT-104,PLT-01,2025-02-14,397,0,370,None
INS-90023,GRN-5012,SUP-004,MAT-104,PLT-04,2025-01-28,192,0,380,None
INS-90024,GRN-5013,SUP-004,MAT-104,PLT-01,2025-01-27,154,0,436,None
INS-90025,GRN-5013,SUP-004,MAT-104,PLT-01,2025-01-27,154,0,564,None
INS-90026,GRN-5013,SUP-004,MAT-104,PLT-01,2025-01-27,156,0,352,None
INS-90027,GRN-5014,SUP-004,MAT-104,PLT-05,2025-02-10,277,0,384,None
INS-90028,GRN-5015,SUP-005,MAT-105,PLT-02,2025-02-05,590,1,1950,Off-spec Chemistry
INS-90029,GRN-5016,SUP-005,MAT-105,PLT-04,2025-01-22,506,0,1329,None
INS-90030,GRN-5017,SUP-005,MAT-105,PLT-04,2025-01-27,513,0,1391,None
INS-90031,GRN-5018,SUP-005,MAT-105,PLT-04,2025-01-28,249,0,2479,None
INS-90032,GRN-5018,SUP-005,MAT-105,PLT-04,2025-01-28,250,0,1748,None
INS-90033,GRN-5019,SUP-006,MAT-102,PLT-01,2025-02-14,240,0,549,None
INS-90034,GRN-5020,SUP-006,MAT-102,PLT-06,2025-01-21,227,0,932,None
INS-90035,GRN-5020,SUP-006,MAT-102,PLT-06,2025-01-21,227,0,654,None
INS-90036,GRN-5021,SUP-007,MAT-101,PLT-01,2025-01-16,242,0,794,None
INS-90037,GRN-5021,SUP-007,MAT-101,PLT-01,2025-01-16,242,0,1382,None
INS-90038,GRN-5022,SUP-007,MAT-101,PLT-01,2025-02-16,38,0,1001,None
INS-90039,GRN-5022,SUP-007,MAT-101,PLT-01,2025-02-16,38,0,1186,None
INS-90040,GRN-5022,SUP-007,MAT-101,PLT-01,2025-02-16,40,0,1441,None
INS-90041,GRN-5023,SUP-007,MAT-101,PLT-02,2025-02-15,201,0,581,None
INS-90042,GRN-5023,SUP-007,MAT-101,PLT-02,2025-02-15,201,0,1958,None
INS-90043,GRN-5024,SUP-007,MAT-101,PLT-03,2025-02-11,162,0,2059,None
INS-90044,GRN-5024,SUP-007,MAT-101,PLT-03,2025-02-11,163,0,1208,None
INS-90045,GRN-5025,SUP-008,MAT-106,PLT-04,2025-02-15,433,0,1432,None
INS-90046,GRN-5026,SUP-008,MAT-106,PLT-01,2025-02-02,171,0,2625,None
INS-90047,GRN-5026,SUP-008,MAT-106,PLT-01,2025-02-02,172,0,1832,None
INS-90048,GRN-5027,SUP-008,MAT-106,PLT-04,2025-02-07,116,0,1115,None
INS-90049,GRN-5027,SUP-008,MAT-106,PLT-04,2025-02-07,116,0,1196,None
INS-90050,GRN-5027,SUP-008,MAT-106,PLT-04,2025-02-07,116,0,1428,None
INS-90051,GRN-5028,SUP-008,MAT-106,PLT-04,2025-01-26,137,0,1083,None
INS-90052,GRN-5029,SUP-009,MAT-107,PLT-05,2025-01-24,780,3,4401,Contamination
INS-90053,GRN-5030,SUP-009,MAT-108,PLT-05,2025-02-10,738,5,7944,Off-spec Chemistry
INS-90054,GRN-5030,SUP-009,MAT-108,PLT-05,2025-02-10,739,4,6754,Oversize Particles
INS-90055,GRN-5031,SUP-010,MAT-103,PLT-04,2025-01-28,47,0,1505,None
INS-90056,GRN-5031,SUP-010,MAT-103,PLT-04,2025-01-28,48,0,956,None
INS-90057,GRN-5032,SUP-010,MAT-103,PLT-05,2025-01-18,168,0,1607,None
INS-90058,GRN-5032,SUP-010,MAT-103,PLT-05,2025-01-18,168,0,1280,None
INS-90059,GRN-5032,SUP-010,MAT-103,PLT-05,2025-01-18,170,0,1441,None
INS-90060,GRN-5033,SUP-011,MAT-105,PLT-03,2025-01-21,84,0,6311,None
INS-90061,GRN-5033,SUP-011,MAT-105,PLT-03,2025-01-21,85,0,5316,None
INS-90062,GRN-5034,SUP-011,MAT-105,PLT-04,2025-02-02,118,0,4997,None
INS-90063,GRN-5034,SUP-011,MAT-105,PLT-04,2025-02-02,118,0,6553,None
INS-90064,GRN-5034,SUP-011,MAT-105,PLT-04,2025-02-02,120,0,5184,None
INS-90065,GRN-5035,SUP-011,MAT-105,PLT-05,2025-01-21,448,2,5945,Bubble/Seed
INS-90066,GRN-5036,SUP-012,MAT-109,PLT-03,2025-02-12,184,0,401,None
INS-90067,GRN-5036,SUP-012,MAT-109,PLT-03,2025-02-12,184,0,626,None
INS-90068,GRN-5036,SUP-012,MAT-109,PLT-03,2025-02-12,186,0,787,None
INS-90069,GRN-5037,SUP-012,MAT-109,PLT-04,2025-02-03,222,0,713,None
INS-90070,GRN-5037,SUP-012,MAT-109,PLT-04,2025-02-03,222,0,515,None
INS-90071,GRN-5037,SUP-012,MAT-109,PLT-04,2025-02-03,224,0,361,None
INS-90072,GRN-5038,SUP-013,MAT-101,PLT-05,2025-02-05,309,0,2824,None
INS-90073,GRN-5039,SUP-013,MAT-101,PLT-01,2025-02-10,140,0,5322,None
INS-90074,GRN-5039,SUP-013,MAT-101,PLT-01,2025-02-10,140,1,7278,Off-spec Chemistry
INS-90075,GRN-5039,SUP-013,MAT-101,PLT-01,2025-02-10,141,0,3469,None
INS-90076,GRN-5040,SUP-014,MAT-104,PLT-03,2025-02-06,252,0,265,None
INS-90077,GRN-5041,SUP-014,MAT-104,PLT-04,2025-02-20,229,0,485,None
INS-90078,GRN-5042,SUP-014,MAT-104,PLT-05,2025-02-14,102,0,432,None
INS-90079,GRN-5042,SUP-014,MAT-104,PLT-05,2025-02-14,102,0,603,None
INS-90080,GRN-5042,SUP-014,MAT-104,PLT-05,2025-02-14,102,0,221,None
INS-90081,GRN-5043,SUP-001,MAT-101,PLT-02,2025-02-23,395,0,152,None
INS-90082,GRN-5044,SUP-001,MAT-101,PLT-01,2025-02-18,270,0,68,None
INS-90083,GRN-5044,SUP-001,MAT-101,PLT-01,2025-02-18,270,0,127,None
INS-90084,GRN-5045,SUP-001,MAT-101,PLT-01,2025-03-13,151,0,131,None
INS-90085,GRN-5045,SUP-001,MAT-101,PLT-01,2025-03-13,151,0,131,None
INS-90086,GRN-5045,SUP-001,MAT-101,PLT-01,2025-03-13,151,0,17,None
INS-90087,GRN-5046,SUP-002,MAT-102,PLT-05,2025-02-18,298,0,82,None
INS-90088,GRN-5046,SUP-002,MAT-102,PLT-05,2025-02-18,299,0,63,None
